trajectory_idx,total_time,write_data_time
0,19.041835069656372,0.06597661972045898
1,18.38289761543274,0.06291985511779785
2,18.50115156173706,0.06461429595947266
6,18.486836910247803,0.06624531745910645
17,18.38316535949707,0.06532597541809082
13,17.9935359954834,0.06763792037963867
16,18.066736936569214,0.0619051456451416
10,18.048144817352295,0.06573104858398438
15,17.433651208877563,0.06502199172973633
3,17.30524969100952,0.058518409729003906
11,18.477665185928345,0.06981229782104492
19,17.626495599746704,0.06174159049987793
5,17.497311115264893,0.061956167221069336
9,18.431249380111694,0.06740474700927734
12,17.17398166656494,0.06236863136291504
14,17.757400512695312,0.06757473945617676
4,18.801554918289185,0.07015395164489746
8,18.235594034194946,0.06619977951049805
1,18.275599479675293,0
6,18.065009593963623,0
17,18.68357801437378,0
13,17.979923009872437,0
16,18.056308031082153,0
10,18.223705530166626,0
15,17.562352895736694,0
3,17.904903650283813,0
11,18.73943066596985,0
19,17.530712127685547,0
5,17.66506576538086,0
9,18.872162580490112,0
12,17.72463631629944,0
14,18.169933319091797,0
4,19.426573038101196,0
8,18.928940773010254,0
2,351.15129470825195,0
6,351.3568136692047,0
17,354.43905782699585,0
13,342.8843698501587,0
16,342.5436940193176,0
10,347.73635268211365,0
15,337.87521481513977,0
3,336.36778020858765,0
11,355.6971504688263,0
19,332.1060655117035,0
5,337.39869260787964,0
9,350.09040927886963,0
12,331.4385268688202,0
14,340.4834678173065,0
4,363.23845648765564,0
8,352.0122592449188,0
0,155.71475553512573,0
17,155.67483854293823,0
15,151.75077366828918,0
8,151.5120348930359,0
5,151.11378383636475,0
11,151.4672966003418,0
3,151.45529222488403,0
18,154.25734782218933,0
16,151.28900408744812,0
13,152.91641998291016,0
9,156.19428944587708,0
19,152.64175295829773,0
4,152.97241735458374,0
12,151.43815159797668,0
7,151.60308694839478,0
10,151.26765942573547,0
14,152.3549349308014,0
6,151.44323897361755,0
0,203.0645534992218,0
17,201.56149220466614,0
15,199.19708800315857,0
1,200.56735229492188,0
8,200.9324049949646,0
5,205.9657337665558,0
11,210.2776656150818,0
3,201.01750469207764,0
18,201.0073390007019,0
16,200.82272601127625,0
13,204.34615063667297,0
2,200.94661569595337,0
9,202.70670771598816,0
19,226.35001611709595,0
4,202.32249975204468,0
12,201.79562377929688,0
7,203.97670769691467,0
10,270.02771162986755,0
14,438.96996212005615,0
6,199.9336416721344,0
455,3.717460870742798,0
794,3.558364152908325,0
210,3.5884194374084473,0
310,3.6349611282348633,0
741,3.498962163925171,0
580,3.559680223464966,0
852,3.6782751083374023,0
547,3.657209634780884,0
438,3.580096960067749,0
679,3.464430570602417,0
936,3.538940191268921,0
637,3.491335153579712,0
867,3.4706575870513916,0
605,3.461735725402832,0
891,3.514037609100342,0
70,3.496812105178833,0
825,3.483780860900879,0
470,3.580576181411743,0
384,3.492516040802002,0
209,3.482409715652466,0
572,3.5544509887695312,0
379,3.5036909580230713,0
929,3.50831937789917,0
879,3.5784335136413574,0
902,3.500727891921997,0
59,3.464218854904175,0
169,3.4643607139587402,0
250,3.5383944511413574,0
811,3.7111074924468994,0
345,3.4939792156219482,0
597,3.5510666370391846,0
319,3.6517226696014404,0
627,3.5366244316101074,0
544,3.499572515487671,0
624,3.570603609085083,0
695,3.5195188522338867,0
159,3.489858865737915,0
199,3.4492177963256836,0
664,3.477735996246338,0
599,3.601130962371826,0
789,3.5075430870056152,0
382,3.5728354454040527,0
938,3.516737699508667,0
427,3.4998912811279297,0
200,3.4984095096588135,0
578,3.5632059574127197,0
267,3.5247085094451904,0
738,3.5467424392700195,0
76,3.5988831520080566,0
871,3.5094683170318604,0
636,3.5889055728912354,0
528,3.5349206924438477,0
783,3.5406785011291504,0
23,3.520843029022217,0
30,3.5166568756103516,0
328,3.4593355655670166,0
10,3.4993414878845215,0
541,3.4569921493530273,0
543,3.496598482131958,0
742,3.5225744247436523,0
54,3.4926698207855225,0
977,3.462470054626465,0
917,3.4997217655181885,0
516,3.4756979942321777,0
708,3.4771108627319336,0
373,3.521613121032715,0
509,3.6306099891662598,0
732,3.5054659843444824,0
261,3.5063183307647705,0
883,3.509814977645874,0
97,3.529017210006714,0
108,3.561485528945923,0
652,3.517521619796753,0
175,3.5513925552368164,0
523,3.577443838119507,0
914,3.5162134170532227,0
39,3.4852447509765625,0
716,3.4843883514404297,0
524,3.524813413619995,0
975,3.503615379333496,0
66,3.4845380783081055,0
560,3.536036491394043,0
67,3.528149366378784,0
881,3.498490333557129,0
354,3.5362184047698975,0
435,3.4994289875030518,0
651,3.530362606048584,0
515,3.5328502655029297,0
451,3.488595724105835,0
487,3.5098214149475098,0
367,3.61027455329895,0
450,3.4996116161346436,0
824,3.5966737270355225,0
518,3.4427573680877686,0
798,3.4478511810302734,0
89,3.447981595993042,0
63,3.4117143154144287,0
826,3.3728883266448975,0
622,3.396158456802368,0
805,3.406369924545288,0
601,3.4547274112701416,0
434,3.446784496307373,0
222,3.392580032348633,0
974,3.400563955307007,0
527,3.4058358669281006,0
959,3.4310128688812256,0
851,3.4166629314422607,0
550,3.3663458824157715,0
687,3.4424965381622314,0
690,3.4579355716705322,0
985,3.3780314922332764,0
140,3.4675159454345703,0
87,3.365924835205078,0
291,3.4845523834228516,0
307,3.434854507446289,0
308,3.404223918914795,0
535,3.400301456451416,0
329,3.3996164798736572,0
724,3.4239020347595215,0
236,3.35811185836792,0
248,3.490419626235962,0
260,3.3891472816467285,0
769,3.4328320026397705,0
893,3.4324991703033447,0
800,3.3874099254608154,0
930,3.4075567722320557,0
137,3.3269970417022705,0
293,3.4227805137634277,0
361,3.4092464447021484,0
849,3.388648509979248,0
413,3.3705410957336426,0
995,3.3916475772857666,0
530,3.4215774536132812,0
55,3.4810099601745605,0
121,3.3886873722076416,0
859,3.394699811935425,0
25,3.383305311203003,0
72,3.4503302574157715,0
44,3.4009478092193604,0
948,3.4716949462890625,0
590,3.389953851699829,0
281,3.4101226329803467,0
295,3.4965381622314453,0
219,3.3875155448913574,0
185,3.4174795150756836,0
943,3.358649492263794,0
353,3.4231317043304443,0
836,3.402651309967041,0
299,3.4403891563415527,0
766,3.454648733139038,0
300,3.429138422012329,0
941,3.389606475830078,0
313,3.4343249797821045,0
775,3.420123338699341,0
297,3.4966893196105957,0
60,3.4666836261749268,0
646,3.4034154415130615,0
596,3.429734468460083,0
444,3.4384634494781494,0
400,3.4647960662841797,0
839,3.4019484519958496,0
593,3.3843417167663574,0
536,3.413672685623169,0
697,3.429208755493164,0
322,3.4230916500091553,0
916,3.408473253250122,0
595,3.459857225418091,0
320,3.3681371212005615,0
211,3.423830509185791,0
111,3.4243361949920654,0
466,3.3755276203155518,0
816,3.396709442138672,0
680,3.469254970550537,0
924,3.367138624191284,0
689,3.460758686065674,0
787,3.452850341796875,0
907,3.3580875396728516,0
426,3.4818763732910156,0
910,3.4276716709136963,0
458,3.4749691486358643,0
214,3.384077548980713,0
